,GF=F,KE=F,ZC=F,ZL=F,ZM=F,ZR=F,ZS=F,ZW=F
<<<<<<< HEAD
Best Model,0.00010924864900025345,0.00038164028806659286,0.00030749551565998105,0.0003702602208585623,0.00033244725577178525,0.09115055411173459,0.00015064847517274975,0.00040139610777335967
=======
Best Model,0.00010857176433668775,0.00038118692504776,0.0003130356815043125,0.00037079724055945963,0.00032991523349328066,0.09048076499091248,0.00015281614180061257,0.0003999852739209394
>>>>>>> 5c21489a920a0390dacbd60938e6959145ac8e72
